Title,Description,Priority,Labels,State
"[S1-PT-01] Zatwierdzić scope Sprint 1 (IN/OUT)","Owner role: PM | AC: Zakres opublikowany; lista wykluczeń zaakceptowana",1,"sprint1,product,ops,p0",Backlog
"[S1-PT-02] Potwierdzić kryteria akceptacji Ride core","Owner role: Tech Lead | AC: AC dla RideDashboard/HUD/Summary wpisane do boardu",1,"sprint1,product,docs,p0",Backlog
"[S1-PT-03] Uzgodnić kolejność P0/P1 dla domen","Owner role: PM | AC: Kolejność zatwierdzona przez mobile+backend+QA",2,"sprint1,product,ops,p1",Backlog
"[S1-PT-04] Zaktualizować implementation spec po kickoff","Owner role: UX Lead | AC: `4VELO_MOBILE_FULL_VISION_IMPLEMENTATION` zaktualizowany",2,"sprint1,product,docs,p1",Backlog
"[S1-MOB-01] Naprawić lint blocker importu `StreakBadge`","Owner role: Mobile Dev | AC: `expo lint` bez errora import/no-unresolved",1,"sprint1,mobile,bug,p0",Backlog
"[S1-MOB-02] Ujednolicić kontrakt `RideSummary` i deep-link path","Owner role: Mobile Dev | AC: `types` + `routeContract` + `linking` spójne",1,"sprint1,mobile,tech-debt,p0",Backlog
"[S1-MOB-03] Domknąć status bar HUD (GPS/battery/clock) na device","Owner role: Mobile Dev | AC: Manual QA na Android/iOS; brak null-crash",1,"sprint1,mobile,feature,p0",Backlog
"[S1-MOB-04] Ride stop confirm guard (hold) z testem regresji","Owner role: Mobile Dev | AC: Potwierdzenie stop działa; test/manual pass",1,"sprint1,mobile,feature,p0",Backlog
"[S1-MOB-05] Uporządkować hook deps warnings w krytycznych plikach","Owner role: Mobile Dev | AC: Brak nowych warnings w dotkniętych plikach",2,"sprint1,mobile,tech-debt,p1",Backlog
"[S1-MOB-06] Refaktor `ActivityDetail` z i18n i bez emoji placeholderów","Owner role: Mobile Dev | AC: Labels przez i18n; brak placeholder text/emoji",2,"sprint1,mobile,tech-debt,p1",Backlog
"[S1-MOB-07] Uporządkować onboarding typy i copy i18n","Owner role: Mobile Dev | AC: Mniej `any`; copy PL/EN przez i18n",2,"sprint1,mobile,tech-debt,p1",Backlog
"[S1-MOB-08] Dodać edge states (offline/error/empty) w detail/trends","Owner role: Mobile Dev | AC: Widoczne i spójne fallbacki",2,"sprint1,mobile,feature,p1",Backlog
