Title,Description,Priority,Labels,State
"[S1-PT-01] Approve Sprint 1 scope (IN/OUT)","Owner role: PM | AC: Scope published; exclusions approved",1,"sprint1,product,ops,p0",Backlog
"[S1-PT-02] Confirm ride-core acceptance criteria","Owner role: Tech Lead | AC: AC for RideDashboard/HUD/Summary added to board",1,"sprint1,product,docs,p0",Backlog
"[S1-PT-03] Lock P0/P1 ordering across domains","Owner role: PM | AC: Ordering approved by mobile+backend+QA",2,"sprint1,product,ops,p1",Backlog
"[S1-PT-04] Update implementation spec after kickoff","Owner role: UX Lead | AC: `4VELO_MOBILE_FULL_VISION_IMPLEMENTATION` updated",2,"sprint1,product,docs,p1",Backlog
"[S1-MOB-01] Fix lint blocker import in `StreakBadge`","Owner role: Mobile Dev | AC: `expo lint` has no import/no-unresolved error",1,"sprint1,mobile,bug,p0",Backlog
"[S1-MOB-02] Align `RideSummary` contract and deep-link path","Owner role: Mobile Dev | AC: `types` + `routeContract` + `linking` consistent",1,"sprint1,mobile,tech-debt,p0",Backlog
"[S1-MOB-03] Finalize HUD status bar (GPS/battery/clock) on device","Owner role: Mobile Dev | AC: Android/iOS manual pass; no null crash",1,"sprint1,mobile,feature,p0",Backlog
"[S1-MOB-04] Add stop-confirm hold guard with regression test","Owner role: Mobile Dev | AC: Stop confirmation works; test/manual pass",1,"sprint1,mobile,feature,p0",Backlog
"[S1-MOB-05] Reduce hook dependency warnings in critical files","Owner role: Mobile Dev | AC: No new warnings in touched critical files",2,"sprint1,mobile,tech-debt,p1",Backlog
"[S1-MOB-06] Refactor `ActivityDetail` to i18n and remove emoji placeholders","Owner role: Mobile Dev | AC: Labels via i18n; no placeholder text/emoji",2,"sprint1,mobile,tech-debt,p1",Backlog
"[S1-MOB-07] Improve onboarding types and i18n copy","Owner role: Mobile Dev | AC: Reduced `any`; PL/EN copy through i18n",2,"sprint1,mobile,tech-debt,p1",Backlog
"[S1-MOB-08] Add edge states (offline/error/empty) in detail/trends","Owner role: Mobile Dev | AC: Clear consistent fallbacks",2,"sprint1,mobile,feature,p1",Backlog
"[S1-MOB-09] Consolidate legacy UI wrappers","Owner role: Mobile Dev | AC: Legacy components delegate to `components/ui`",3,"sprint1,mobile,tech-debt,p2",Backlog
"[S1-MOB-10] Standardize spacing/layout templates on top 3 screens","Owner role: Mobile Dev | AC: Ride/Explore/Profile follow same layout pattern",3,"sprint1,mobile,tech-debt,p2",Backlog
"[S1-BE-01] Validate auth refresh contract and 401 behavior","Owner role: Backend Dev | AC: Contract documented; mobile flow passes",1,"sprint1,backend,ops,p0",Backlog
"[S1-BE-02] Validate `sync_path/finalize` offline edge cases","Owner role: Backend Dev | AC: kill/relaunch scenario documented and approved",1,"sprint1,backend,ops,p0",Backlog
